Company,Year,Revenue($),Type,Projects,Growth %
ABB,2022,29.4,Ports / Marine,Rotterdam port's shore power world's largest shore power system (32 ships simultaneously),
ABB,2023,32.2,Manufacturing / Capex,US manufacturing expansion in  Missisisippi / Virginia / Puerto Rico / North Carolina,21.98375931
ABB,2024,32.85,Manufacturing / India,ABB India motor manufacturing 140 Cr facility; rare earth-free IE5 motors,16.60116836
ABB,2025,33.22,Digital / Product,ABB Ability Building Pro AI/IoT cloud-connected smart building platform launch,8.087993799
Crompton,2022,0.74,Solar / Government,MSEDCL Maharashtra solar water pumps 1214 EPC systems (PM-KUSUM B),
Crompton,2023,0.88,Solar / Government,MSEDCL Maharashtra off-grid solar pumps 3540 DC PV systems (PM-KUSUM),27.13944392
Crompton,2024,0.88,Solar / Renewables,First solar rooftop EPC order entry into INR 20000 - 25000 Cr rooftop solar market,6.456886521
Crompton,2025,0.94,Brand / Product,Crompton 2.0 strategy BLDC fan premiumization; target 40% premium share in 2-3 years,7.602987192
Havells,2022,1.66,Manufacturing / Capex,Alwar cable plant expansion capacity 41.45 lakh km/yr; total capex,
Havells,2023,2.02,Manufacturing / Capex,Noida electronics manufacturing facility 50-acre plant under EMC 2.0,9.922752491
Havells,2024,2.22,Renewables / Energy,"Kundan Solar captive 15 MW solar plant, Rajasthan JV (26% stake)",17.88932249
Havells,2025,2.59,Manufacturing / Appliances,Ghiloth washing machine plant expansion adds 1.5 lakh units/yr,3.442501306
Schneider Electric,2022,31.21,Data Centers,AI data center infrastructure; Motivair acquisition; 24 month pipeline visibility,
Schneider Electric,2023,38.77,Manufacturing / Localisation,US local manufacturing investments; 83% North America goods are made locally,5.050327715
Schneider Electric,2024,41.2,ESG / Sustainability,Sustainability Impact 2030o save 1500 TWh f acustomer energy; voidsoavoid 1.5B f tons CO2,6.269845691
Schneider Electric,2025,43.36,M&A / India,SEIPL India full acquisition; deeper India market penetration,5.239430713
Siemens,2022,77.76,Mobility,S-Bahn Copenhagen commuter train project (consortium leader),
Siemens,2023,84.02,Energy Generation,Rumah 2 & Nairyah 2 gas-fired power plants (via Siemens Energy),21.45296022
Siemens,2024,81.97,Industrial ,Vulcan geothermal lithium project,-21.44020499
Siemens,2025,85.21,Aerospace / Digital,JetZero blended-wing aircraft Factory of the Future ,14.6477218
